,All of Me_John Legend
0,would
1,without
2,smart
3,mouth
4,drawin'
5,kickin'
6,got
7,head
8,spinnin'
9,kiddin'
10,can't
11,pin
12,what's
13,goin'
14,beautiful
15,mind
16,i'm
17,magical
18,mystery
19,ride
20,i'm
21,dizzy
22,know
23,hit
24,i'll
25,alright
26,pre-chorus
27,head's
28,water
29,i'm
30,breathing
31,fine
32,crazy
33,i'm
34,mind
35,'cause
36,loves
37,love
38,curves
39,edges
40,perfect
41,imperfections
42,give
43,i'll
44,give
45,end
46,beginnin'
47,even
48,lose
49,i'm
50,winnin'
51,post-chorus
52,'cause
53,give
54,give
55,oh-oh
56,many
57,times
58,tell
59,even
60,crying
61,beautiful
62,world
63,beating
64,i'm
65,around
66,every
67,mood
68,downfall
69,muse
70,worst
71,distraction
72,rhythm
73,blues
74,can't
75,stop
76,singing
77,ringing
78,head
79,pre-chorus
80,head's
81,water
82,i'm
83,breathin'
84,fine
85,crazy
86,i'm
87,mind
88,'cause
89,loves
90,love
91,curves
92,edges
93,perfect
94,imperfections
95,give
96,i'll
97,give
98,end
99,beginnin'
100,even
101,lose
102,i'm
103,winnin'
104,post-chorus
105,'cause
106,give
107,give
108,oh-oh
109,bridge
110,give
111,oh
112,cards
113,table
114,we're
115,showing
116,hearts
117,risking
118,though
119,hard
120,'cause
121,loves
122,love
123,curves
124,edges
125,perfect
126,imperfections
127,give
128,i'll
129,give
130,end
131,beginnin'
132,even
133,lose
134,i'm
135,winnin'
136,post-chorus
137,'cause
138,give
139,give
140,outro
141,give
142,give
143,oh-oh
