,Baby It's You_The Beatles
0,sha
1,la
2,la
3,la
4,la
5,la
6,la
7,sha
8,la
9,la
10,la
11,la
12,la
13,la
14,sha
15,la
16,la
17,la
18,la
19,la
20,la
21,sha
22,la
23,la
24,la
25,la
26,way
27,smile
28,touched
29,heart
30,sha
31,la
32,la
33,la
34,la
35,way
36,kiss
37,tears
38,apart
39,uh
40,oh
41,many
42,many
43,many
44,nights
45,go
46,sit
47,alone
48,home
49,cry
50,can't
51,help
52,'cause
53,baby
54,sha
55,la
56,la
57,la
58,la
59,la
60,la
61,baby
62,sha
63,la
64,la
65,la
66,la
67,la
68,la
69,sha
70,la
71,la
72,la
73,la
74,hear
75,say
76,"""cheat"""
77,"""cheat"""
78,sha
79,la
80,la
81,la
82,la
83,say
84,say
85,never
86,never
87,never
88,ever
89,true
90,cheat
91,cheat
92,uh
93,oh
94,matter
95,say
96,know
97,i'm
98,going
99,love
100,old
101,way
102,true
103,want
104,nobody
105,nobody
106,'cause
107,baby
108,sha
109,la
110,la
111,la
112,la
113,la
114,la
115,baby
116,sha
117,la
118,la
119,la
120,la
121,la
122,la
123,instrumental
124,-
125,solo
126,guitar
127,uh
128,oh
129,matter
130,say
131,know
132,i'm
133,gonna
134,love
135,old
136,way
137,true
138,want
139,nobody
140,nobody
141,'cause
142,baby
143,sha
144,la
145,la
146,la
147,la
148,la
149,la
150,baby
151,sha
152,la
153,la
154,la
155,la
156,la
157,la
158,outro
159,leave
160,alone
161,sha
162,la
163,la
164,la
165,la
166,la
167,la
168,come
169,home
170,sha
171,la
172,la
173,la
174,la
175,la
176,la
177,'cause
178,baby
