,My Love Is Your Love_Whitney Houston
0,whitney
1,houston
2,clap
3,hands
4,y'all
5,alright
6,turn
7,turn
8,turn
9,clap
10,hands
11,y'all
12,alright
13,clap
14,hands
15,y'all
16,alright
17,clap
18,hands
19,y'all
20,alright
21,whitney
22,houston
23,tomorrow
24,judgement
25,day
26,sing
27,mommy
28,i'm
29,standing
30,front
31,line
32,lord
33,ask
34,life
35,say
36,spent
37,clap
38,hands
39,y'all
40,alright
41,alright
42,clap
43,hands
44,y'all
45,alright
46,whitney
47,houston
48,wake
49,world
50,war
51,world
52,war
53,see
54,destruction
55,poverty
56,feel
57,like
58,wanna
59,go
60,home
61,okay
62,comin'
63,clap
64,hands
65,y'all
66,alright
67,alright
68,clap
69,hands
70,y'all
71,alright
72,whitney
73,houston
74,'cause
75,love
76,love
77,love
78,love
79,would
80,take
81,eternity
82,break
83,us
84,chains
85,amistad
86,hold
87,us
88,'cause
89,love
90,love
91,love
92,love
93,would
94,take
95,eternity
96,break
97,us
98,chains
99,amistad
100,hold
101,us
102,post
103,clap
104,hands
105,y'all
106,alright
107,clap
108,hands
109,y'all
110,alright
111,clap
112,hands
113,y'all
114,alright
115,whitney
116,houston
117,lose
118,fame
119,fortune
120,i'm
121,homeless
122,street
123,street
124,oh
125,lord
126,i'm
127,sleepin'
128,grand
129,central
130,station
131,ooh
132,okay
133,okay
134,sleepin'
135,clap
136,hands
137,y'all
138,alright
139,clap
140,hands
141,y'all
142,alright
143,whitney
144,houston
145,years
146,pass
147,us
148,years
149,years
150,years
151,stay
152,young
153,other's
154,eyes
155,other's
156,eyes
157,matter
158,old
159,get
160,oh
161,okay
162,long
163,got
164,babe
165,clap
166,hands
167,y'all
168,alright
169,clap
170,hands
171,y'all
172,alright
173,whitney
174,houston
175,'cause
176,love
177,love
178,love
179,love
180,would
181,take
182,eternity
183,break
184,us
185,chains
186,amistad
187,hold
188,us
189,'cause
190,love
191,love
192,love
193,love
194,would
195,take
196,eternity
197,break
198,us
199,chains
200,amistad
201,hold
202,us
203,bridge
204,whitney
205,houston
206,die
207,day
208,day
209,cry
210,'cause
211,earth
212,meant
213,stay
214,matter
215,people
216,say
217,really
218,matter
219,i'll
220,waiting
221,judgement
222,day
223,whitney
224,houston
225,'cause
226,love
227,love
228,love
229,love
230,would
231,take
232,eternity
233,break
234,us
235,chains
236,amistad
237,hold
238,us
239,'cause
240,love
241,love
242,love
243,love
244,would
245,take
246,eternity
247,break
248,us
249,chains
250,amistad
251,hold
252,us
253,'cause
254,love
255,love
256,love
257,love
258,would
259,take
260,eternity
261,break
262,us
263,chains
264,amistad
265,hold
266,us
267,outro
268,clap
269,hands
270,y'all
271,alright
272,clap
273,hands
274,clap
275,hands
276,y'all
277,alright
278,clap
279,hands
280,y'all
281,alright
282,clap
283,hands
284,y'all
285,alright
