,Blue Beard_Band of Horses
0,used
1,see
2,night
3,anxious
4,know
5,thing
6,ever
7,taught
8,grand
9,illusion
10,comes
11,goes
12,city
13,blanketed
14,snow
15,die
16,end
17,conclusion
18,could
19,smile
20,walk
21,away
22,well
23,know
24,know
25,met
26,railroad
27,station
28,years
29,ago
30,somethin'
31,happened
32,night
33,last
34,drank
35,neon
36,glow
37,see
38,anymore
39,midwestern
40,sky
41,gray
42,cold
43,sun
44,never
45,shines
46,that's
47,alright
48,find
49,letters
50,wrote
51,write
52,where'd
53,go
54,well
55,know
56,bridge
57,take
58,little
59,time
60,gonna
61,roll
62,dice
63,taken
64,ride
65,normal
66,life
67,find
68,another
69,way
70,try
71,break
72,ice
73,everyday
74,night
75,banana
76,peels
77,true
78,true
