,Realiti_Grimes
0,reversed
1,get
2,see
3,young
4,used
5,get
6,close
7,scared
8,beautiful
9,wanna
10,peer
11,edge
12,see
13,death
14,always
15,interlude
16,oh
17,fear
18,life
19,ever
20,like
21,'cause
22,love
23,kept
24,alive
25,made
26,insane
27,oh
28,yeah
29,pre-chorus
30,moments
31,seemed
32,okay
33,go
34,back
35,alone
36,whether
37,go
38,whether
39,stay
40,go
41,back
42,alone
43,time
44,music
45,would
46,play
47,woah-oh-oh-oh-oh
48,oh
49,baby
50,every
51,morning
52,mountains
53,climb
54,taking
55,time
56,oh
57,get
58,see
59,welcome
60,reality
61,oh
62,baby
63,every
64,morning
65,mountains
66,climb
67,taking
68,time
69,oh
70,get
71,see
72,welcome
73,reality
74,young
75,used
76,get
77,close
78,scared
79,beautiful
80,wanna
81,peer
82,edge
83,see
84,death
85,always
86,oh
87,yeah
88,pre-chorus
89,moments
90,seemed
91,okay
92,go
93,back
94,alone
95,whether
96,go
97,whether
98,stay
99,go
100,back
101,alone
102,oh
103,oh
104,oh-oh
105,oh
106,oh
107,baby
108,every
109,morning
110,mountains
111,climb
112,taking
113,time
114,oh
115,get
116,see
117,welcome
118,reality
119,oh
120,baby
121,every
122,morning
123,mountains
124,climb
125,taking
126,time
127,oh
128,get
129,see
130,welcome
131,reality
132,reality
133,outro
134,oh
135,baby
136,every
137,give
138,sign
139,reality
140,oh
141,baby
142,every
143,give
144,sign
145,oh
146,baby
147,every
148,give
149,sign
150,oh
151,baby
152,every
153,give
154,sign
155,oh
156,baby
157,every
158,give
159,sign
160,oh
161,oh
162,oh-oh
163,oh
164,oh
165,baby
166,every
167,give
168,sign
169,oh
170,baby
171,every
172,oh
173,baby
174,every
175,oh
176,baby
177,every
178,sounds
179,like
180,corporate
181,art
182,break
183,bread
184,infidel
185,plunge
186,dark
