,I Was Here_Beyoncé
0,wanna
1,leave
2,footprints
3,sands
4,time
5,know
6,something
7,meant
8,something
9,left
10,behind
11,leave
12,world
13,i'll
14,leave
15,regrets
16,leave
17,something
18,remember
19,forget
20,lived
21,loved
22,i've
23,done
24,everything
25,wanted
26,thought
27,would
28,leave
29,mark
30,everyone
31,know
32,wanna
33,say
34,lived
35,day
36,die
37,know
38,meant
39,something
40,somebody's
41,life
42,hearts
43,touched
44,proof
45,leave
46,made
47,difference
48,world
49,see
50,lived
51,loved
52,i've
53,done
54,everything
55,wanted
56,thought
57,would
58,leave
59,mark
60,everyone
61,know
62,lived
63,loved
64,i’ve
65,done
66,everything
67,wanted
68,thought
69,would
70,leave
71,mark
72,everyone
73,know
74,bridge
75,want
76,know
77,gave
78,best
79,brought
80,someone
81,happiness
82,left
83,world
84,little
85,better
86,lived
87,loved
88,i've
89,done
90,everything
91,wanted
92,thought
93,would
94,wanna
95,leave
96,mark
97,everyone
98,know
99,lived
100,lived
101,loved
102,i've
103,done
104,lived
105,lived
106,loved
107,loved
108,i've
109,done
