,Love Love Love_Of Monsters and Men
0,well
1,maybe
2,i'm
3,crook
4,stealing
5,heart
6,away
7,yeah
8,maybe
9,i'm
10,crook
11,caring
12,yeah
13,maybe
14,i'm
15,bad
16,bad
17,bad
18,bad
19,person
20,well
21,baby
22,know
23,fingertips
24,never
25,run
26,skin
27,bright
28,blue
29,eyes
30,meet
31,mine
32,across
33,room
34,filled
35,people
36,less
37,important
38,cause
39,love
40,love
41,love
42,know
43,can't
44,love
45,love
46,love
47,love
48,know
49,can't
50,love
51,love
52,love
53,love
54,know
55,can't
56,love
57,think
58,best
59,forget
60,dwell
61,bridge
62,way
63,held
64,tight
65,night
66,till
67,near
68,morning
69,cause
70,love
71,love
72,love
73,know
74,can't
75,love
76,love
77,love
78,love
79,know
80,can't
81,love
82,love
83,love
84,love
85,know
86,can't
87,love
88,cause
89,love
90,love
91,love
92,know
93,can't
94,love
95,love
96,love
97,love
98,know
99,can't
100,love
101,love
102,love
103,love
104,know
105,can't
106,love
107,outro
