,In the Name of Love_Martin Garrix
0,bebe
1,rexha
2,told
3,gonna
4,hurt
5,warned
6,fire's
7,gonna
8,burn
9,would
10,walk
11,would
12,let
13,first
14,name
15,love
16,would
17,let
18,lead
19,even
20,blind
21,darkness
22,middle
23,night
24,silence
25,there's
26,one
27,side
28,would
29,call
30,name
31,love
32,bebe
33,rexha
34,name
35,love
36,name
37,love
38,name
39,love
40,name
41,love
42,breakdown
43,bebe
44,rexha
45,name
46,love
47,name
48,name
49,love
50,name
51,name
52,love
53,bebe
54,rexha
55,told
56,could
57,bathe
58,lights
59,would
60,rise
61,come
62,meet
63,sky
64,would
65,trust
66,jumping
67,heights
68,would
69,fall
70,name
71,love
72,there's
73,madness
74,there's
75,poison
76,head
77,sadness
78,leaves
79,broken
80,bed
81,hold
82,depths
83,despair
84,name
85,love
86,bebe
87,rexha
88,name
89,love
90,name
91,love
92,name
93,love
94,name
95,love
96,breakdown
97,bebe
98,rexha
99,name
100,love
101,name
102,name
103,love
104,name
105,name
106,love
107,bridge
108,bebe
109,rexha
110,wanna
111,testify
112,scream
113,holy
114,light
115,bring
116,back
117,life
118,name
119,love
120,wanna
121,testify
122,scream
123,holy
124,light
125,bring
126,back
127,life
128,name
129,love
130,bebe
131,rexha
132,name
133,love
134,name
135,love
136,name
137,love
138,name
139,love
140,breakdown
141,bebe
142,rexha
143,name
144,love
145,name
146,name
147,love
148,name
149,name
150,love
151,name
152,love
153,name
154,name
155,love
156,name
157,love
158,name
159,love
160,name
161,love
