,Breathe_Michelle Branch
0,i've
1,driving
2,hour
3,talking
4,rain
5,say
6,i've
7,driving
8,crazy
9,keeping
10,away
11,give
12,one
13,good
14,reason
15,tell
16,stay
17,'cause
18,wanna
19,waste
20,another
21,moment
22,saying
23,things
24,never
25,meant
26,say
27,pre-chorus
28,take
29,little
30,bit
31,hold
32,breath
33,count
34,ten
35,i've
36,waiting
37,chance
38,let
39,breathe
40,let
41,fill
42,space
43,i'll
44,know
45,everything
46,alright
47,breathe
48,every
49,little
50,piece
51,see
52,everything
53,alright
54,breathe
55,well
56,overrated
57,saying
58,feel
59,end
60,watching
61,chances
62,fade
63,wondering
64,what's
65,real
66,pre-chorus
67,give
68,little
69,time
70,wonder
71,realize
72,i've
73,waiting
74,'til
75,see
76,eyes
77,breathe
78,let
79,fill
80,space
81,i'll
82,know
83,everything
84,alright
85,breathe
86,every
87,little
88,piece
89,see
90,everything
91,alright
92,breathe
93,bridge
94,breathe
95,whisper
96,dark
97,hoping
98,hear
99,hear
100,breathe
101,let
102,fill
103,space
104,i'll
105,know
106,everything
107,alright
108,breathe
109,every
110,little
111,piece
112,see
113,everything
114,alright
115,yeah
116,yeah
117,everything
118,alright
119,everything
120,alright
121,breathe
122,breathe
123,outro
124,i've
125,driving
126,hour
127,talking
128,rain
