,Cigarettes And Chocolate Milk_Rufus Wainwright
0,cigarettes
1,chocolate
2,milk
3,couple
4,cravings
5,everything
6,seems
7,like's
8,little
9,bit
10,stronger
11,little
12,bit
13,thicker
14,little
15,bit
16,harmful
17,buy
18,jellybeans
19,eat
20,one
21,sitting
22,everything
23,seems
24,like's
25,little
26,bit
27,sweeter
28,little
29,bit
30,fatter
31,little
32,bit
33,harmful
34,there's
35,things
36,several
37,reasons
38,mention
39,everything
40,'em
41,little
42,bit
43,stranger
44,little
45,bit
46,harder
47,little
48,bit
49,deadly
50,smart
51,tends
52,make
53,one
54,part
55,brokenhearted
56,sitting
57,remembering
58,always
59,shoe
60,made
61,city
62,go
63,ahead
64,accuse
65,singing
66,places
67,scrappy
68,boys
69,faces
70,general
71,run
72,town
73,playing
74,prodigal
75,sons
76,takes
77,lot
78,sentimental
79,valiums
80,can't
81,expect
82,world
83,raggedy
84,andy
85,running
86,empty
87,little
88,old
89,doll
90,frown
91,got
92,keep
93,game
94,retaining
95,mystique
96,facing
97,forward
98,suggest
99,reading
100,lesson
101,tightropes
102,surfing
103,high
104,hopes
105,adios
106,kansas
107,smart
108,tends
109,make
110,one
111,part
112,brokenhearted
113,still
114,there's
115,show
116,back
117,holes
118,friendly
119,intervention
120,i'm
121,little
122,bit
123,heiress
124,little
125,bit
126,irish
127,little
128,bit
129,tower
130,pisa
131,whenever
132,see
133,ya
134,please
135,kind
136,i'm
137,mess
138,cigarettes
139,chocolate
140,milk
141,cigarettes
142,chocolate
143,milk
