,The Sharpest Lives_My Chemical Romance
0,well
1,rains
2,pours
3,crash
4,couch
5,sleep
6,clothes
7,cause
8,i've
9,spent
10,night
11,dancing
12,i'm
13,drunk
14,suppose
15,looks
16,like
17,i'm
18,laughing
19,i'm
20,really
21,asking
22,leave
23,alone
24,time
25,show
26,one
27,need
28,i'm
29,one
30,loathe
31,watch
32,corrode
33,like
34,beast
35,repose
36,'cause
37,love
38,poison
39,away
40,boys
41,band
42,prechorus
43,i've
44,really
45,bender
46,shows
47,blow
48,kiss
49,goes
50,give
51,shot
52,remember
53,take
54,pain
55,away
56,kiss
57,surrender
58,sharpest
59,lives
60,deadliest
61,lead
62,light
63,burn
64,empires
65,bright
66,sun
67,ashamed
68,rise
69,love
70,vampires
71,leave
72,like
73,sane
74,abandoned
75,there's
76,place
77,dark
78,animals
79,go
80,take
81,skin
82,cannibal
83,glow
84,juliet
85,loves
86,beat
87,lust
88,commands
89,drop
90,dagger
91,lather
92,blood
93,hands
94,romeo
95,prechorus
96,i've
97,really
98,bender
99,shows
100,blow
101,kiss
102,goes
103,give
104,shot
105,remember
106,take
107,pain
108,away
109,kiss
110,surrender
111,sharpest
112,lives
113,deadliest
114,lead
115,light
116,burn
117,empires
118,bright
119,sun
120,ashamed
121,rise
122,love
123,vampires
124,leave
125,like
126,sane
127,abandoned
128,yeah
129,hey
130,hey
131,hey
132,hey
133,guitar
134,solo
135,give
136,shot
137,remember
138,take
139,pain
140,away
141,kiss
142,surrender
143,sharpest
144,lives
145,deadliest
146,lead
147,light
148,burn
149,empires
150,bright
151,sun
152,ashamed
153,rise
154,love
155,vampires
156,leave
157,like
158,sane
159,abandoned
