,The Air That I Breathe_The Hollies
0,could
1,make
2,wish
3,think
4,i'd
5,pass
6,can't
7,think
8,anythin'
9,need
10,cigarettes
11,sleep
12,light
13,sound
14,nothing
15,eat
16,books
17,read
18,making
19,love
20,left
21,peaceful
22,warm
23,tired
24,could
25,ask
26,there's
27,nothing
28,left
29,desired
30,peace
31,came
32,upon
33,leaves
34,weak
35,sleep
36,silent
37,angel
38,go
39,sleep
40,sometimes
41,need
42,air
43,breathe
44,love
45,need
46,air
47,breathe
48,yes
49,love
50,need
51,air
52,breathe
53,instrumental
54,interlude
55,peace
56,came
57,upon
58,leaves
59,weak
60,sleep
61,silent
62,angel
63,go
64,sleep
65,sometimes
66,need
67,air
68,breathe
69,love
70,need
71,air
72,breathe
73,yes
74,love
75,need
76,air
77,breathe
78,sometimes
79,need
80,air
81,breathe
82,love
83,need
84,air
85,breathe
86,yes
87,love
88,need
89,air
90,breathe
91,love
92,need
93,air
94,breathe
95,yes
96,love
