,yeah right_Joji
0,i'ma
1,fuck
2,life
3,i'ma
4,fuck
5,life
6,i'ma
7,fuck
8,life
9,i'ma
10,fuck
11,life
12,i'ma
13,fuck
14,life
15,i'ma
16,fuck
17,life
18,gon'
19,party
20,night
21,care
22,die
23,yeah
24,right
25,yeah
26,right
27,yeah
28,bet
29,cry
30,yeah
31,bet
32,try
33,know
34,mind
35,know
36,mind
37,prechorus
38,yeah
39,right
40,yeah
41,right
42,yeah
43,right
44,yeah
45,right
46,yeah
47,right
48,yeah
49,right
50,yeah
51,bet
52,know
53,ain't
54,never
55,give
56,single
57,fuck
58,yeah
59,bet
60,know
61,ain't
62,never
63,gonna
64,together
65,see
66,yeah
67,bet
68,go
69,see
70,i'm
71,feeling
72,like
73,drum
74,without
75,beat
76,yeah
77,dance
78,good
79,think
80,that's
81,kinda
82,neat
83,know
84,love
85,know
86,life
87,know
88,blood
89,bitch
90,ain't
91,even
92,type
93,yeah
94,right
95,yeah
96,right
97,yeah
98,know
99,feel
100,right
101,yeah
102,living
103,right
104,ever
105,pick
106,sides
107,yeah
108,right
109,yeah
110,right
111,i'm
112,overthinking
113,pride
114,gotta
115,look
116,nice
117,feelin'
118,ice
119,feelin'
120,yeah
121,bet
122,know
123,ain't
124,never
125,give
126,single
127,fuck
128,yeah
129,bet
130,know
131,ain't
132,never
133,gonna
134,together
135,see
136,yeah
137,bet
138,go
139,see
140,i'm
141,feeling
142,like
143,drum
144,without
145,beat
146,yeah
147,dance
148,good
149,think
150,that's
151,kinda
152,neat
