,Only Love Can Break Your Heart_Neil Young
0,young
1,feel
2,alone
3,prechorus
4,always
5,thinking
6,games
7,playing
8,trying
9,make
10,best
11,time
12,love
13,break
14,heart
15,try
16,sure
17,right
18,start
19,yes
20,love
21,break
22,heart
23,world
24,fall
25,apart
26,friend
27,i've
28,never
29,seen
30,hides
31,head
32,inside
33,dream
34,prechorus
35,someone
36,call
37,see
38,come
39,try
40,lose
41,he's
42,found
43,love
44,break
45,heart
46,try
47,sure
48,right
49,start
50,yes
51,love
52,break
53,heart
54,world
55,fall
56,apart
57,friend
58,i've
59,never
60,seen
61,hides
62,head
63,inside
64,dream
65,yes
66,love
67,break
68,heart
69,yes
70,love
71,break
72,heart
73,yes
74,love
75,break
76,heart
77,yes
78,love
79,break
80,heart
81,yes
82,love
83,break
84,heart
