,Not a Bad Thing_Justin Timberlake
0,said
1,want
2,see
3,tomorrow
4,every
5,tomorrow
6,maybe
7,you’ll
8,let
9,borrow
10,heart
11,much
12,ask
13,every
14,sunday
15,we're
16,throw
17,every
18,day
19,start
20,prechorus
21,know
22,people
23,make
24,promises
25,time
26,turn
27,right
28,around
29,break
30,someone
31,cuts
32,heart
33,open
34,knife
35,bleeding
36,could
37,guy
38,heal
39,time
40,won’t
41,stop
42,believe
43,'cause
44,baby
45,you’re
46,worth
47,act
48,like
49,it’s
50,bad
51,thing
52,fall
53,love
54,'cause
55,might
56,fuck
57,around
58,find
59,dreams
60,come
61,true
62,spend
63,time
64,money
65,find
66,love
67,free
68,act
69,like
70,it’s
71,bad
72,thing
73,fall
74,love
75,it’s
76,bad
77,thing
78,fall
79,love
80,fall
81,yeah
82,last
83,voice
84,hear
85,tonight
86,every
87,night
88,rest
89,nights
90,every
91,morning
92,wanna
93,see
94,staring
95,back
96,staring
97,back
98,'cause
99,know
100,that’s
101,good
102,place
103,start
104,prechorus
105,know
106,people
107,make
108,promises
109,time
110,turn
111,right
112,around
113,break
114,someone
115,cuts
116,heart
117,open
118,knife
119,bleeding
120,know
121,could
122,guy
123,heal
124,time
125,won’t
126,stop
127,believe
128,'cause
129,baby
130,you’re
131,worth
132,act
133,like
134,it’s
135,bad
136,thing
137,fall
138,love
139,'cause
140,might
141,fuck
142,around
143,find
144,dreams
145,come
146,true
147,spend
148,time
149,money
150,find
151,love
152,free
153,act
154,like
155,it’s
156,bad
157,thing
158,fall
159,love
160,it’s
161,bad
162,thing
163,fall
164,love
165,bad
166,thing
167,fall
168,love
169,bad
170,thing
171,fall
172,love
173,won’t
174,fill
175,mind
176,broken
177,promises
178,wasted
179,time
180,fall
181,you’ll
182,always
183,land
184,right
185,arms
186,arms
187,mine
188,act
189,like
190,it’s
191,bad
192,thing
193,fall
194,love
195,'cause
196,might
197,fuck
198,around
199,find
200,dreams
201,come
202,true
203,spend
204,time
205,money
206,find
207,love
208,free
209,act
210,like
211,it’s
212,bad
213,thing
214,fall
215,love
216,it’s
217,bad
218,thing
219,fall
220,love
221,bad
222,thing
223,fall
224,love
